nm	n	k
1284.124878	1.573939	0.10465
1287.537964	1.571029	0.10561
1290	1.568924	0.106307
1290.951416	1.568109	0.106577
1294.365479	1.565179	0.107554
1297.780029	1.562238	0.108539
1300	1.56032	0.109184
1301.195068	1.559286	0.109532
1304.610596	1.556324	0.110535
1308.026489	1.553351	0.111546
1310	1.551628	0.112134
1311.442993	1.550367	0.112566
1314.859863	1.547372	0.113595
1318.277344	1.544367	0.114633
1320	1.542848	0.11516
1321.695313	1.541351	0.115681
1325.113647	1.538324	0.116738
1328.532593	1.535286	0.117804
1330	1.533979	0.118264
1331.951904	1.532237	0.118879
1335.371826	1.529177	0.119964
1338.792236	1.526106	0.121059
1340	1.525019	0.121448
1342.213135	1.523023	0.122163
1345.634521	1.51993	0.123277
1349.056274	1.516826	0.124402
1350	1.515967	0.124713
1352.478638	1.51371	0.125536
1355.901367	1.510583	0.12668
1359.324707	1.507444	0.127835
1360	1.506824	0.128064
1362.748413	1.504295	0.129
1366.172729	1.501133	0.130175
1369.597412	1.497961	0.131361
1370	1.497587	0.131501
1373.022705	1.494777	0.132557
1376.448486	1.491581	0.133764
1379.874756	1.488374	0.134983
1380	1.488256	0.135027
1383.301392	1.485155	0.136212
1386.728638	1.481925	0.137452
1390	1.478831	0.138646
1390.15625	1.478683	0.138703
1393.584473	1.475429	0.139966
1397.013062	1.472163	0.14124
1400	1.469309	0.142359
1400.442139	1.468886	0.142526
1403.871826	1.465597	0.143823
1407.302002	1.462296	0.145132
1410	1.459691	0.14617
1410.732666	1.458983	0.146453
1414.163696	1.455658	0.147787
1417.595215	1.452321	0.149132
1420	1.449976	0.150082
1421.027344	1.448972	0.15049
1424.459839	1.445611	0.15186
1427.892822	1.442238	0.153242
1430	1.440162	0.154097
1431.326416	1.438853	0.154638
1434.760498	1.435455	0.156046
1438.194946	1.432046	0.157468
1440	1.430249	0.15822
1441.630005	1.428624	0.158902
1445.06543	1.42519	0.16035
1448.501343	1.421744	0.161811
1450	1.420237	0.162452
1451.937744	1.418285	0.163286
1455.374756	1.414814	0.164774
1458.812256	1.411331	0.166277
1460	1.410124	0.166799
1462.250122	1.407835	0.167793
1465.688477	1.404327	0.169324
1469.127319	1.400806	0.170869
1470	1.399911	0.171263
1472.56665	1.397273	0.172428
1476.006592	1.393728	0.174003
1479.447021	1.390169	0.175592
1480	1.389596	0.175849
1482.887817	1.386599	0.177196
1486.329102	1.383015	0.178815
1489.770874	1.379419	0.18045
1490	1.37918	0.180559
1493.213135	1.375811	0.1821
1496.656006	1.37219	0.183766
1500	1.368661	0.1854
1500.099243	1.368556	0.185448
1503.542969	1.364909	0.187146
1506.987183	1.36125	0.188861
1510	1.358039	0.190374
1510.431885	1.357578	0.190592
1513.877075	1.353894	0.192339
1517.322754	1.350196	0.194104
1520	1.347315	0.195486
1520.768921	1.346486	0.195885
1524.215576	1.342764	0.197684
1527.662842	1.339028	0.1995
1530	1.336488	0.200742
1531.110474	1.33528	0.201335
1534.558472	1.331519	0.203186
1538.00708	1.327745	0.205057
1540	1.325559	0.206145
1541.456299	1.323959	0.206945
1544.905762	1.32016	0.208852
1548.355835	1.316348	0.210778
1550	1.314527	0.211702
1551.806396	1.312523	0.212723
1555.257446	1.308686	0.214687
1558.708984	1.304836	0.21667
1560	1.303393	0.217417
1562.161011	1.300974	0.218674
1565.613525	1.297099	0.220697
1569.066528	1.293211	0.22274
1570	1.292158	0.223296
1572.519897	1.28931	0.224804
1575.973877	1.285397	0.226889
1579.428345	1.281472	0.228995
1580	1.280821	0.229345
1582.883179	1.277534	0.231122
1586.338623	1.273584	0.23327
1589.794556	1.269621	0.23544
1590	1.269385	0.23557
1593.250854	1.265646	0.237632
1596.707764	1.261659	0.239847
1600	1.257851	0.241977
1600.165161	1.257659	0.242084
1603.622925	1.253648	0.244344
1607.081299	1.249624	0.246627
1610	1.246219	0.248572
1610.540161	1.245588	0.248933
1613.99939	1.24154	0.251264
1617.459229	1.237481	0.253618
1620	1.234492	0.255362
1620.919434	1.233409	0.255996
1624.380127	1.229326	0.2584
1627.841431	1.225231	0.260828
1630	1.222672	0.262355
1631.303101	1.221125	0.263281
1634.765381	1.217008	0.26576
1638.228027	1.212879	0.268265
1640	1.210762	0.269556
1641.691162	1.208739	0.270796
1645.154907	1.204588	0.273353
1648.618896	1.200426	0.275937
